	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over	Temp

	#	s	V vs. Ref.	A	V	V	V	#	bits	deg C

	0	0,016667	9,97968E-002	-7,00942E-006	0,00000E+000	1,00006E-001	0,00000E+000	7	...........	-32768,00

	1	0,033333	1,00798E-001	-6,89247E-006	0,00000E+000	1,00994E-001	0,00000E+000	7	...........	-32768,00

	2	0,05	1,01699E-001	-6,85537E-006	0,00000E+000	1,01994E-001	0,00000E+000	7	...........	-32768,00

	3	0,066667	1,02700E-001	-6,77852E-006	0,00000E+000	1,02994E-001	0,00000E+000	7	...........	-32768,00

	4	0,083333	1,03701E-001	-6,75245E-006	0,00000E+000	1,03994E-001	0,00000E+000	7	...........	-32768,00

	5	0,1	1,04802E-001	-6,71369E-006	0,00000E+000	1,04994E-001	0,00000E+000	7	...........	-32768,00

	6	0,116667	1,05703E-001	-6,68161E-006	0,00000E+000	1,05994E-001	0,00000E+000	7	...........	-32768,00

	7	0,133333	1,06804E-001	-6,61645E-006	0,00000E+000	1,06994E-001	0,00000E+000	7	...........	-32768,00

	8	0,15	1,07805E-001	-6,58504E-006	0,00000E+000	1,07994E-001	0,00000E+000	7	...........	-32768,00

	9	0,166667	1,08805E-001	-6,53224E-006	0,00000E+000	1,08994E-001	0,00000E+000	7	...........	-32768,00

	10	0,183333	1,09806E-001	-6,51186E-006	0,00000E+000	1,09994E-001	0,00000E+000	7	...........	-32768,00

	11	0,2	1,10807E-001	-6,48680E-006	0,00000E+000	1,10995E-001	0,00000E+000	7	...........	-32768,00

	12	0,216667	1,11708E-001	-6,44135E-006	0,00000E+000	1,11995E-001	0,00000E+000	7	...........	-32768,00

	13	0,233333	1,12809E-001	-6,41295E-006	0,00000E+000	1,12995E-001	0,00000E+000	7	...........	-32768,00

	14	0,25	1,13810E-001	-6,38321E-006	0,00000E+000	1,13995E-001	0,00000E+000	7	...........	-32768,00

	15	0,266667	1,14711E-001	-6,36283E-006	0,00000E+000	1,14995E-001	0,00000E+000	7	...........	-32768,00

	16	0,283333	1,15912E-001	-6,33442E-006	0,00000E+000	1,15995E-001	0,00000E+000	7	...........	-32768,00

	17	0,3	1,16713E-001	-6,31170E-006	0,00000E+000	1,16995E-001	0,00000E+000	7	...........	-32768,00

	18	0,316667	1,17814E-001	-6,28330E-006	0,00000E+000	1,17995E-001	0,00000E+000	7	...........	-32768,00

	19	0,333333	1,18815E-001	-6,24955E-006	0,00000E+000	1,18995E-001	0,00000E+000	7	...........	-32768,00

	20	0,35	1,19816E-001	-6,23819E-006	0,00000E+000	1,19995E-001	0,00000E+000	7	...........	-32768,00

	21	0,366667	1,20817E-001	-6,20143E-006	0,00000E+000	1,20995E-001	0,00000E+000	7	...........	-32768,00

	22	0,383333	1,21818E-001	-6,17703E-006	0,00000E+000	1,21995E-001	0,00000E+000	7	...........	-32768,00

	23	0,4	1,22919E-001	-6,16133E-006	0,00000E+000	1,22996E-001	0,00000E+000	7	...........	-32768,00

	24	0,416667	1,23720E-001	-6,12290E-006	0,00000E+000	1,23996E-001	0,00000E+000	7	...........	-32768,00

	25	0,433333	1,24821E-001	-6,11288E-006	0,00000E+000	1,24996E-001	0,00000E+000	7	...........	-32768,00

	26	0,45	1,25822E-001	-6,08982E-006	0,00000E+000	1,25996E-001	0,00000E+000	7	...........	-32768,00

	27	0,466667	1,26823E-001	-6,06476E-006	0,00000E+000	1,26996E-001	0,00000E+000	7	...........	-32768,00

	28	0,483333	1,27724E-001	-6,04070E-006	0,00000E+000	1,27996E-001	0,00000E+000	7	...........	-32768,00

	29	0,5	1,28825E-001	-6,01363E-006	0,00000E+000	1,28996E-001	0,00000E+000	7	...........	-32768,00

	30	0,516667	1,29826E-001	-6,00862E-006	0,00000E+000	1,29996E-001	0,00000E+000	7	...........	-32768,00

	31	0,533333	1,30827E-001	-5,98690E-006	0,00000E+000	1,30996E-001	0,00000E+000	7	...........	-32768,00

	32	0,55	1,31928E-001	-5,96518E-006	0,00000E+000	1,31996E-001	0,00000E+000	7	...........	-32768,00

	33	0,566667	1,32729E-001	-5,93778E-006	0,00000E+000	1,32996E-001	0,00000E+000	7	...........	-32768,00

	34	0,583333	1,33729E-001	-5,92007E-006	0,00000E+000	1,33996E-001	0,00000E+000	7	...........	-32768,00

	35	0,6	1,34730E-001	-5,90737E-006	0,00000E+000	1,34997E-001	0,00000E+000	7	...........	-32768,00

	36	0,616667	1,35731E-001	-5,88364E-006	0,00000E+000	1,35997E-001	0,00000E+000	7	...........	-32768,00

	37	0,633333	1,36832E-001	-5,86861E-006	0,00000E+000	1,36997E-001	0,00000E+000	7	...........	-32768,00

	38	0,65	1,37733E-001	-5,84588E-006	0,00000E+000	1,37997E-001	0,00000E+000	7	...........	-32768,00

	39	0,666667	1,38734E-001	-5,82918E-006	0,00000E+000	1,38997E-001	0,00000E+000	7	...........	-32768,00

	40	0,683333	1,39735E-001	-5,81614E-006	0,00000E+000	1,39997E-001	0,00000E+000	7	...........	-32768,00

	41	0,7	1,40836E-001	-5,79342E-006	0,00000E+000	1,40997E-001	0,00000E+000	7	...........	-32768,00

	42	0,716667	1,41837E-001	-5,78975E-006	0,00000E+000	1,41997E-001	0,00000E+000	7	...........	-32768,00

	43	0,733333	1,42838E-001	-5,75733E-006	0,00000E+000	1,42997E-001	0,00000E+000	7	...........	-32768,00

	44	0,75	1,43739E-001	-5,74664E-006	0,00000E+000	1,43997E-001	0,00000E+000	7	...........	-32768,00

	45	0,766667	1,44740E-001	-5,73027E-006	0,00000E+000	1,44997E-001	0,00000E+000	7	...........	-32768,00

	46	0,783333	1,45741E-001	-5,71857E-006	0,00000E+000	1,45997E-001	0,00000E+000	7	...........	-32768,00

	47	0,8	1,46742E-001	-5,71423E-006	0,00000E+000	1,46997E-001	0,00000E+000	7	...........	-32768,00

	48	0,816667	1,47743E-001	-5,69184E-006	0,00000E+000	1,47998E-001	0,00000E+000	7	...........	-32768,00

	49	0,833333	1,48744E-001	-5,68482E-006	0,00000E+000	1,48998E-001	0,00000E+000	7	...........	-32768,00

	50	0,85	1,49745E-001	-5,67179E-006	0,00000E+000	1,49998E-001	0,00000E+000	7	...........	-32768,00

	51	0,866667	1,50846E-001	-5,63336E-006	0,00000E+000	1,50998E-001	0,00000E+000	7	...........	-32768,00

	52	0,883333	1,51747E-001	-5,62066E-006	0,00000E+000	1,51998E-001	0,00000E+000	7	...........	-32768,00

	53	0,9	1,52848E-001	-5,61097E-006	0,00000E+000	1,52998E-001	0,00000E+000	7	...........	-32768,00

	54	0,916667	1,53749E-001	-5,60295E-006	0,00000E+000	1,53998E-001	0,00000E+000	7	...........	-32768,00

	55	0,933333	1,54850E-001	-5,59594E-006	0,00000E+000	1,54998E-001	0,00000E+000	7	...........	-32768,00

	56	0,95	1,55751E-001	-5,57756E-006	0,00000E+000	1,55998E-001	0,00000E+000	7	...........	-32768,00

	57	0,96667	1,56752E-001	-5,55985E-006	0,00000E+000	1,56998E-001	0,00000E+000	7	...........	-32768,00

	58	0,98333	1,57853E-001	-5,54949E-006	0,00000E+000	1,57998E-001	0,00000E+000	7	...........	-32768,00

	59	1	1,58753E-001	-5,53512E-006	0,00000E+000	1,58998E-001	0,00000E+000	7	...........	-32768,00

	60	1,01667	1,59754E-001	-5,52610E-006	0,00000E+000	1,59999E-001	0,00000E+000	7	...........	-32768,00

	61	1,03333	1,60856E-001	-5,51240E-006	0,00000E+000	1,60999E-001	0,00000E+000	7	...........	-32768,00

	62	1,05	1,61856E-001	-5,49703E-006	0,00000E+000	1,61999E-001	0,00000E+000	7	...........	-32768,00

	63	1,06667	1,62857E-001	-5,49001E-006	0,00000E+000	1,62999E-001	0,00000E+000	7	...........	-32768,00

	64	1,08333	1,63758E-001	-5,47898E-006	0,00000E+000	1,63999E-001	0,00000E+000	7	...........	-32768,00

	65	1,1	1,64759E-001	-5,47497E-006	0,00000E+000	1,64999E-001	0,00000E+000	7	...........	-32768,00

	66	1,11667	1,65760E-001	-5,44356E-006	0,00000E+000	1,65999E-001	0,00000E+000	7	...........	-32768,00

	67	1,13333	1,66861E-001	-5,44590E-006	0,00000E+000	1,66999E-001	0,00000E+000	7	...........	-32768,00

	68	1,15	1,67862E-001	-5,42217E-006	0,00000E+000	1,67999E-001	0,00000E+000	7	...........	-32768,00

	69	1,16667	1,68963E-001	-5,42117E-006	0,00000E+000	1,68999E-001	0,00000E+000	7	...........	-32768,00

	70	1,18333	1,69864E-001	-5,41181E-006	0,00000E+000	1,69999E-001	0,00000E+000	7	...........	-32768,00

	71	1,2	1,70965E-001	-5,39511E-006	0,00000E+000	1,70999E-001	0,00000E+000	7	...........	-32768,00

	72	1,21667	1,71766E-001	-5,39043E-006	0,00000E+000	1,71999E-001	0,00000E+000	7	...........	-32768,00

	73	1,23333	1,72767E-001	-5,37907E-006	0,00000E+000	1,73000E-001	0,00000E+000	7	...........	-32768,00

	74	1,25	1,73868E-001	-5,36871E-006	0,00000E+000	1,74000E-001	0,00000E+000	7	...........	-32768,00

	75	1,26667	1,74769E-001	-5,35768E-006	0,00000E+000	1,75000E-001	0,00000E+000	7	...........	-32768,00

	76	1,28333	1,75770E-001	-5,34331E-006	0,00000E+000	1,76000E-001	0,00000E+000	7	...........	-32768,00

	77	1,3	1,76771E-001	-5,32995E-006	0,00000E+000	1,77000E-001	0,00000E+000	7	...........	-32768,00

	78	1,31667	1,77772E-001	-5,32995E-006	0,00000E+000	1,78000E-001	0,00000E+000	7	...........	-32768,00

	79	1,33333	1,78773E-001	-5,31391E-006	0,00000E+000	1,79000E-001	0,00000E+000	7	...........	-32768,00

	80	1,35	1,79774E-001	-5,29787E-006	0,00000E+000	1,80000E-001	0,00000E+000	7	...........	-32768,00

	81	1,36667	1,80875E-001	-5,29720E-006	0,00000E+000	1,81000E-001	0,00000E+000	7	...........	-32768,00

	82	1,38333	1,81776E-001	-5,28216E-006	0,00000E+000	1,82000E-001	0,00000E+000	7	...........	-32768,00

	83	1,4	1,82777E-001	-5,28216E-006	0,00000E+000	1,83000E-001	0,00000E+000	7	...........	-32768,00

	84	1,41667	1,83778E-001	-5,26211E-006	0,00000E+000	1,84000E-001	0,00000E+000	7	...........	-32768,00

	85	1,43333	1,84778E-001	-5,24574E-006	0,00000E+000	1,85001E-001	0,00000E+000	7	...........	-32768,00

	86	1,45	1,85779E-001	-5,24407E-006	0,00000E+000	1,86001E-001	0,00000E+000	7	...........	-32768,00

	87	1,46667	1,86780E-001	-5,23271E-006	0,00000E+000	1,87001E-001	0,00000E+000	7	...........	-32768,00

	88	1,48333	1,87781E-001	-5,22602E-006	0,00000E+000	1,88001E-001	0,00000E+000	7	...........	-32768,00

	89	1,5	1,88882E-001	-5,21366E-006	0,00000E+000	1,89001E-001	0,00000E+000	7	...........	-32768,00

	90	1,51667	1,89683E-001	-5,21466E-006	0,00000E+000	1,90001E-001	0,00000E+000	7	...........	-32768,00

	91	1,53333	1,90784E-001	-5,19060E-006	0,00000E+000	1,91001E-001	0,00000E+000	7	...........	-32768,00

	92	1,55	1,91785E-001	-5,19094E-006	0,00000E+000	1,92001E-001	0,00000E+000	7	...........	-32768,00

	93	1,56667	1,92886E-001	-5,18158E-006	0,00000E+000	1,93001E-001	0,00000E+000	7	...........	-32768,00

	94	1,58333	1,93787E-001	-5,17724E-006	0,00000E+000	1,94001E-001	0,00000E+000	7	...........	-32768,00

	95	1,6	1,94788E-001	-5,16287E-006	0,00000E+000	1,95001E-001	0,00000E+000	7	...........	-32768,00

	96	1,61667	1,95789E-001	-5,16554E-006	0,00000E+000	1,96001E-001	0,00000E+000	7	...........	-32768,00

	97	1,63333	1,96790E-001	-5,15552E-006	0,00000E+000	1,97001E-001	0,00000E+000	7	...........	-32768,00

	98	1,65	1,97791E-001	-5,13981E-006	0,00000E+000	1,98002E-001	0,00000E+000	7	...........	-32768,00

	99	1,66667	1,98892E-001	-5,13981E-006	0,00000E+000	1,99002E-001	0,00000E+000	7	...........	-32768,00

	100	1,68333	1,99793E-001	-5,12244E-006	0,00000E+000	2,00002E-001	0,00000E+000	7	...........	-32768,00

	101	1,7	2,00794E-001	-5,11341E-006	0,00000E+000	2,01002E-001	0,00000E+000	7	...........	-32768,00

	102	1,71667	2,01795E-001	-5,11776E-006	0,00000E+000	2,02002E-001	0,00000E+000	7	...........	-32768,00

	103	1,73333	2,02796E-001	-5,10706E-006	0,00000E+000	2,03002E-001	0,00000E+000	7	...........	-32768,00

	104	1,75	2,03797E-001	-5,09303E-006	0,00000E+000	2,04002E-001	0,00000E+000	7	...........	-32768,00

	105	1,76667	2,04798E-001	-5,08000E-006	0,00000E+000	2,05002E-001	0,00000E+000	7	...........	-32768,00

	106	1,78333	2,05799E-001	-5,08768E-006	0,00000E+000	2,06002E-001	0,00000E+000	7	...........	-32768,00

	107	1,8	2,06800E-001	-5,08000E-006	0,00000E+000	2,07002E-001	0,00000E+000	7	...........	-32768,00

	108	1,81667	2,07801E-001	-5,06763E-006	0,00000E+000	2,08002E-001	0,00000E+000	7	...........	-32768,00

	109	1,83333	2,08902E-001	-5,05861E-006	0,00000E+000	2,09002E-001	0,00000E+000	7	...........	-32768,00

	110	1,85	2,09702E-001	-5,03956E-006	0,00000E+000	2,10003E-001	0,00000E+000	7	...........	-32768,00

	111	1,86667	2,10803E-001	-5,03723E-006	0,00000E+000	2,11003E-001	0,00000E+000	7	...........	-32768,00

	112	1,88333	2,11804E-001	-5,03422E-006	0,00000E+000	2,12003E-001	0,00000E+000	7	...........	-32768,00

	113	1,9	2,12805E-001	-5,04090E-006	0,00000E+000	2,13003E-001	0,00000E+000	7	...........	-32768,00

	114	1,91667	2,13806E-001	-5,02687E-006	0,00000E+000	2,14003E-001	0,00000E+000	7	...........	-32768,00

	115	1,93333	2,14807E-001	-5,00581E-006	0,00000E+000	2,15003E-001	0,00000E+000	7	...........	-32768,00

	116	1,95	2,15908E-001	-5,00448E-006	0,00000E+000	2,16003E-001	0,00000E+000	7	...........	-32768,00

	117	1,96667	2,16809E-001	-4,99445E-006	0,00000E+000	2,17003E-001	0,00000E+000	7	...........	-32768,00

	118	1,98333	2,17810E-001	-4,98409E-006	0,00000E+000	2,18003E-001	0,00000E+000	7	...........	-32768,00

	119	2	2,18811E-001	-4,98376E-006	0,00000E+000	2,19003E-001	0,00000E+000	7	...........	-32768,00

	120	2,01667	2,19912E-001	-4,96906E-006	0,00000E+000	2,20003E-001	0,00000E+000	7	...........	-32768,00

	121	2,03333	2,20813E-001	-4,96705E-006	0,00000E+000	2,21003E-001	0,00000E+000	7	...........	-32768,00

	122	2,05	2,21814E-001	-4,95703E-006	0,00000E+000	2,22003E-001	0,00000E+000	7	...........	-32768,00

	123	2,06667	2,22815E-001	-4,97006E-006	0,00000E+000	2,23004E-001	0,00000E+000	7	...........	-32768,00

	124	2,08333	2,23916E-001	-4,93965E-006	0,00000E+000	2,24004E-001	0,00000E+000	7	...........	-32768,00

	125	2,1	2,24817E-001	-4,93263E-006	0,00000E+000	2,25004E-001	0,00000E+000	7	...........	-32768,00

	126	2,11667	2,25818E-001	-4,92629E-006	0,00000E+000	2,26004E-001	0,00000E+000	7	...........	-32768,00

	127	2,13333	2,26819E-001	-4,92461E-006	0,00000E+000	2,27004E-001	0,00000E+000	7	...........	-32768,00

	128	2,15	2,27820E-001	-4,91693E-006	0,00000E+000	2,28004E-001	0,00000E+000	7	...........	-32768,00

	129	2,16667	2,28821E-001	-4,91258E-006	0,00000E+000	2,29004E-001	0,00000E+000	7	...........	-32768,00

	130	2,18333	2,29822E-001	-4,90456E-006	0,00000E+000	2,30004E-001	0,00000E+000	7	...........	-32768,00

	131	2,2	2,30823E-001	-4,89888E-006	0,00000E+000	2,31004E-001	0,00000E+000	7	...........	-32768,00

	132	2,21667	2,31824E-001	-4,89287E-006	0,00000E+000	2,32004E-001	0,00000E+000	7	...........	-32768,00

	133	2,23333	2,32825E-001	-4,88151E-006	0,00000E+000	2,33004E-001	0,00000E+000	7	...........	-32768,00

	134	2,25	2,33826E-001	-4,87148E-006	0,00000E+000	2,34004E-001	0,00000E+000	7	...........	-32768,00

	135	2,26667	2,34827E-001	-4,85979E-006	0,00000E+000	2,35005E-001	0,00000E+000	7	...........	-32768,00

	136	2,28333	2,35828E-001	-4,86313E-006	0,00000E+000	2,36005E-001	0,00000E+000	7	...........	-32768,00

