	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over	Temp

	#	s	V vs. Ref.	A	V	V	V	#	bits	deg C

	0	0,033333	9,98251E-002	-1,09478E-005	0,00000E+000	1,00006E-001	0,00000E+000	7	....ih..i..	-32768,00

	1	0,066667	1,00798E-001	-3,08370E-005	0,00000E+000	1,00994E-001	0,00000E+000	8	...........	-32768,00

	2	0,1	1,01794E-001	-3,05665E-005	0,00000E+000	1,01994E-001	0,00000E+000	8	...........	-32768,00

	3	0,133333	1,02780E-001	-3,03554E-005	0,00000E+000	1,02994E-001	0,00000E+000	8	...........	-32768,00

	4	0,166667	1,03789E-001	-3,01985E-005	0,00000E+000	1,03994E-001	0,00000E+000	8	...........	-32768,00

	5	0,2	1,04796E-001	-3,00484E-005	0,00000E+000	1,04994E-001	0,00000E+000	8	...........	-32768,00

	6	0,233333	1,05791E-001	-2,99052E-005	0,00000E+000	1,05994E-001	0,00000E+000	8	...........	-32768,00

	7	0,266667	1,06796E-001	-2,97579E-005	0,00000E+000	1,06994E-001	0,00000E+000	8	...........	-32768,00

	8	0,3	1,07787E-001	-2,96476E-005	0,00000E+000	1,07994E-001	0,00000E+000	8	...........	-32768,00

	9	0,333333	1,08789E-001	-2,94928E-005	0,00000E+000	1,08994E-001	0,00000E+000	8	...........	-32768,00

	10	0,366667	1,09783E-001	-2,93628E-005	0,00000E+000	1,09994E-001	0,00000E+000	8	...........	-32768,00

	11	0,4	1,10787E-001	-2,92269E-005	0,00000E+000	1,10995E-001	0,00000E+000	8	...........	-32768,00

	12	0,433333	1,11786E-001	-2,91181E-005	0,00000E+000	1,11995E-001	0,00000E+000	8	...........	-32768,00

	13	0,466667	1,12791E-001	-2,89776E-005	0,00000E+000	1,12995E-001	0,00000E+000	8	...........	-32768,00

	14	0,5	1,13783E-001	-2,88472E-005	0,00000E+000	1,13995E-001	0,00000E+000	8	...........	-32768,00

	15	0,533333	1,14777E-001	-2,87134E-005	0,00000E+000	1,14995E-001	0,00000E+000	8	...........	-32768,00

	16	0,566667	1,15808E-001	-2,85723E-005	0,00000E+000	1,15995E-001	0,00000E+000	8	...........	-32768,00

	17	0,6	1,16806E-001	-2,84639E-005	0,00000E+000	1,16995E-001	0,00000E+000	8	...........	-32768,00

	18	0,633333	1,17809E-001	-2,83612E-005	0,00000E+000	1,17995E-001	0,00000E+000	8	...........	-32768,00

	19	0,666667	1,18792E-001	-2,82304E-005	0,00000E+000	1,18995E-001	0,00000E+000	8	...........	-32768,00

	20	0,7	1,19806E-001	-2,81058E-005	0,00000E+000	1,19995E-001	0,00000E+000	8	...........	-32768,00

	21	0,733333	1,20801E-001	-2,80147E-005	0,00000E+000	1,20995E-001	0,00000E+000	8	...........	-32768,00

	22	0,766667	1,21797E-001	-2,79055E-005	0,00000E+000	1,21995E-001	0,00000E+000	8	...........	-32768,00

	23	0,8	1,22800E-001	-2,78072E-005	0,00000E+000	1,22996E-001	0,00000E+000	8	...........	-32768,00

	24	0,833333	1,23791E-001	-2,76824E-005	0,00000E+000	1,23996E-001	0,00000E+000	8	...........	-32768,00

	25	0,866667	1,24795E-001	-2,75908E-005	0,00000E+000	1,24996E-001	0,00000E+000	8	...........	-32768,00

	26	0,9	1,25784E-001	-2,75018E-005	0,00000E+000	1,25996E-001	0,00000E+000	8	...........	-32768,00

	27	0,933333	1,26804E-001	-2,74170E-005	0,00000E+000	1,26996E-001	0,00000E+000	8	...........	-32768,00

	28	0,96667	1,27793E-001	-2,73168E-005	0,00000E+000	1,27996E-001	0,00000E+000	8	...........	-32768,00

	29	1	1,28801E-001	-2,72297E-005	0,00000E+000	1,28996E-001	0,00000E+000	8	...........	-32768,00

	30	1,03333	1,29810E-001	-2,71334E-005	0,00000E+000	1,29996E-001	0,00000E+000	8	...........	-32768,00

	31	1,06667	1,30804E-001	-2,70481E-005	0,00000E+000	1,30996E-001	0,00000E+000	8	...........	-32768,00

	32	1,1	1,31795E-001	-2,69591E-005	0,00000E+000	1,31996E-001	0,00000E+000	8	...........	-32768,00

	33	1,13333	1,32798E-001	-2,68778E-005	0,00000E+000	1,32996E-001	0,00000E+000	8	...........	-32768,00

	34	1,16667	1,33799E-001	-2,68024E-005	0,00000E+000	1,33996E-001	0,00000E+000	8	...........	-32768,00

	35	1,2	1,34798E-001	-2,67076E-005	0,00000E+000	1,34997E-001	0,00000E+000	8	...........	-32768,00

	36	1,23333	1,35808E-001	-2,66089E-005	0,00000E+000	1,35997E-001	0,00000E+000	8	...........	-32768,00

	37	1,26667	1,36799E-001	-2,65429E-005	0,00000E+000	1,36997E-001	0,00000E+000	8	...........	-32768,00

	38	1,3	1,37786E-001	-2,64444E-005	0,00000E+000	1,37997E-001	0,00000E+000	8	...........	-32768,00

	39	1,33333	1,38792E-001	-2,63607E-005	0,00000E+000	1,38997E-001	0,00000E+000	8	...........	-32768,00

	40	1,36667	1,39796E-001	-2,62879E-005	0,00000E+000	1,39997E-001	0,00000E+000	8	...........	-32768,00

	41	1,4	1,40776E-001	-2,62097E-005	0,00000E+000	1,40997E-001	0,00000E+000	8	...........	-32768,00

	42	1,43333	1,41799E-001	-2,61154E-005	0,00000E+000	1,41997E-001	0,00000E+000	8	...........	-32768,00

	43	1,46667	1,42809E-001	-2,60414E-005	0,00000E+000	1,42997E-001	0,00000E+000	8	...........	-32768,00

	44	1,5	1,43813E-001	-2,59739E-005	0,00000E+000	1,43997E-001	0,00000E+000	8	...........	-32768,00

	45	1,53333	1,44795E-001	-2,59015E-005	0,00000E+000	1,44997E-001	0,00000E+000	8	...........	-32768,00

	46	1,56667	1,45797E-001	-2,58189E-005	0,00000E+000	1,45997E-001	0,00000E+000	8	...........	-32768,00

	47	1,6	1,46797E-001	-2,57525E-005	0,00000E+000	1,46997E-001	0,00000E+000	8	...........	-32768,00

	48	1,63333	1,47799E-001	-2,56902E-005	0,00000E+000	1,47998E-001	0,00000E+000	8	...........	-32768,00

	49	1,66667	1,48800E-001	-2,56260E-005	0,00000E+000	1,48998E-001	0,00000E+000	8	...........	-32768,00

	50	1,7	1,49795E-001	-2,55509E-005	0,00000E+000	1,49998E-001	0,00000E+000	8	...........	-32768,00

	51	1,73333	1,50783E-001	-2,54808E-005	0,00000E+000	1,50998E-001	0,00000E+000	8	...........	-32768,00

	52	1,76667	1,51800E-001	-2,54070E-005	0,00000E+000	1,51998E-001	0,00000E+000	8	...........	-32768,00

	53	1,8	1,52799E-001	-2,53248E-005	0,00000E+000	1,52998E-001	0,00000E+000	8	...........	-32768,00

	54	1,83333	1,53796E-001	-2,52436E-005	0,00000E+000	1,53998E-001	0,00000E+000	8	...........	-32768,00

	55	1,86667	1,54805E-001	-2,51681E-005	0,00000E+000	1,54998E-001	0,00000E+000	8	...........	-32768,00

	56	1,9	1,55810E-001	-2,51034E-005	0,00000E+000	1,55998E-001	0,00000E+000	8	...........	-32768,00

	57	1,93333	1,56805E-001	-2,50243E-005	0,00000E+000	1,56998E-001	0,00000E+000	8	...........	-32768,00

	58	1,96667	1,57809E-001	-2,49546E-005	0,00000E+000	1,57998E-001	0,00000E+000	8	...........	-32768,00

	59	2	1,58804E-001	-2,48871E-005	0,00000E+000	1,58998E-001	0,00000E+000	8	...........	-32768,00

	60	2,03333	1,59796E-001	-2,48094E-005	0,00000E+000	1,59999E-001	0,00000E+000	8	...........	-32768,00

	61	2,06667	1,60803E-001	-2,47437E-005	0,00000E+000	1,60999E-001	0,00000E+000	8	...........	-32768,00

	62	2,1	1,61804E-001	-2,46735E-005	0,00000E+000	1,61999E-001	0,00000E+000	8	...........	-32768,00

	63	2,13333	1,62799E-001	-2,46077E-005	0,00000E+000	1,62999E-001	0,00000E+000	8	...........	-32768,00

	64	2,16667	1,63799E-001	-2,45468E-005	0,00000E+000	1,63999E-001	0,00000E+000	8	...........	-32768,00

	65	2,2	1,64793E-001	-2,44876E-005	0,00000E+000	1,64999E-001	0,00000E+000	8	...........	-32768,00

	66	2,23333	1,65794E-001	-2,44083E-005	0,00000E+000	1,65999E-001	0,00000E+000	8	...........	-32768,00

	67	2,26667	1,66785E-001	-2,43543E-005	0,00000E+000	1,66999E-001	0,00000E+000	8	...........	-32768,00

	68	2,3	1,67819E-001	-2,42974E-005	0,00000E+000	1,67999E-001	0,00000E+000	8	...........	-32768,00

	69	2,33333	1,68820E-001	-2,42190E-005	0,00000E+000	1,68999E-001	0,00000E+000	8	...........	-32768,00

	70	2,36667	1,69801E-001	-2,41784E-005	0,00000E+000	1,69999E-001	0,00000E+000	8	...........	-32768,00

	71	2,4	1,70811E-001	-2,41197E-005	0,00000E+000	1,70999E-001	0,00000E+000	8	...........	-32768,00

	72	2,43333	1,71811E-001	-2,40504E-005	0,00000E+000	1,71999E-001	0,00000E+000	8	...........	-32768,00

	73	2,46667	1,72796E-001	-2,39875E-005	0,00000E+000	1,73000E-001	0,00000E+000	8	...........	-32768,00

	74	2,5	1,73813E-001	-2,39345E-005	0,00000E+000	1,74000E-001	0,00000E+000	8	...........	-32768,00

	75	2,53333	1,74792E-001	-2,38695E-005	0,00000E+000	1,75000E-001	0,00000E+000	8	...........	-32768,00

	76	2,56667	1,75805E-001	-2,38116E-005	0,00000E+000	1,76000E-001	0,00000E+000	8	...........	-32768,00

	77	2,6	1,76804E-001	-2,37479E-005	0,00000E+000	1,77000E-001	0,00000E+000	8	...........	-32768,00

	78	2,63333	1,77793E-001	-2,36857E-005	0,00000E+000	1,78000E-001	0,00000E+000	8	...........	-32768,00

	79	2,66667	1,78788E-001	-2,36313E-005	0,00000E+000	1,79000E-001	0,00000E+000	8	...........	-32768,00

	80	2,7	1,79835E-001	-2,35772E-005	0,00000E+000	1,80000E-001	0,00000E+000	8	...........	-32768,00

	81	2,73333	1,80823E-001	-2,35164E-005	0,00000E+000	1,81000E-001	0,00000E+000	8	...........	-32768,00

	82	2,76667	1,81821E-001	-2,34684E-005	0,00000E+000	1,82000E-001	0,00000E+000	8	...........	-32768,00

	83	2,8	1,82805E-001	-2,34051E-005	0,00000E+000	1,83000E-001	0,00000E+000	8	...........	-32768,00

	84	2,83333	1,83820E-001	-2,33416E-005	0,00000E+000	1,84000E-001	0,00000E+000	8	...........	-32768,00

	85	2,86667	1,84812E-001	-2,32866E-005	0,00000E+000	1,85001E-001	0,00000E+000	8	...........	-32768,00

	86	2,9	1,85808E-001	-2,32378E-005	0,00000E+000	1,86001E-001	0,00000E+000	8	...........	-32768,00

	87	2,93333	1,86812E-001	-2,31864E-005	0,00000E+000	1,87001E-001	0,00000E+000	8	...........	-32768,00

	88	2,96667	1,87808E-001	-2,31301E-005	0,00000E+000	1,88001E-001	0,00000E+000	8	...........	-32768,00

	89	3	1,88803E-001	-2,30742E-005	0,00000E+000	1,89001E-001	0,00000E+000	8	...........	-32768,00

	90	3,03333	1,89798E-001	-2,30225E-005	0,00000E+000	1,90001E-001	0,00000E+000	8	...........	-32768,00

	91	3,06667	1,90807E-001	-2,29560E-005	0,00000E+000	1,91001E-001	0,00000E+000	8	...........	-32768,00

	92	3,1	1,91801E-001	-2,29021E-005	0,00000E+000	1,92001E-001	0,00000E+000	8	...........	-32768,00

	93	3,13333	1,92820E-001	-2,28451E-005	0,00000E+000	1,93001E-001	0,00000E+000	8	...........	-32768,00

	94	3,16667	1,93814E-001	-2,27829E-005	0,00000E+000	1,94001E-001	0,00000E+000	8	...........	-32768,00

	95	3,2	1,94815E-001	-2,27320E-005	0,00000E+000	1,95001E-001	0,00000E+000	8	...........	-32768,00

	96	3,23333	1,95832E-001	-2,26942E-005	0,00000E+000	1,96001E-001	0,00000E+000	8	...........	-32768,00

	97	3,26667	1,96804E-001	-2,26337E-005	0,00000E+000	1,97001E-001	0,00000E+000	8	...........	-32768,00

	98	3,3	1,97809E-001	-2,25831E-005	0,00000E+000	1,98002E-001	0,00000E+000	8	...........	-32768,00

	99	3,33333	1,98804E-001	-2,25303E-005	0,00000E+000	1,99002E-001	0,00000E+000	8	...........	-32768,00

	100	3,36667	1,99807E-001	-2,24784E-005	0,00000E+000	2,00002E-001	0,00000E+000	8	...........	-32768,00

	101	3,4	2,00810E-001	-2,24252E-005	0,00000E+000	2,01002E-001	0,00000E+000	8	...........	-32768,00

	102	3,43333	2,01814E-001	-2,23789E-005	0,00000E+000	2,02002E-001	0,00000E+000	8	...........	-32768,00

	103	3,46667	2,02795E-001	-2,23351E-005	0,00000E+000	2,03002E-001	0,00000E+000	8	...........	-32768,00

	104	3,5	2,03807E-001	-2,22781E-005	0,00000E+000	2,04002E-001	0,00000E+000	8	...........	-32768,00

	105	3,53333	2,04801E-001	-2,22263E-005	0,00000E+000	2,05002E-001	0,00000E+000	8	...........	-32768,00

	106	3,56667	2,05822E-001	-2,21739E-005	0,00000E+000	2,06002E-001	0,00000E+000	8	...........	-32768,00

	107	3,6	2,06815E-001	-2,21247E-005	0,00000E+000	2,07002E-001	0,00000E+000	8	...........	-32768,00

	108	3,63333	2,07813E-001	-2,20709E-005	0,00000E+000	2,08002E-001	0,00000E+000	8	...........	-32768,00

	109	3,66667	2,08815E-001	-2,20213E-005	0,00000E+000	2,09002E-001	0,00000E+000	8	...........	-32768,00

	110	3,7	2,09810E-001	-2,19685E-005	0,00000E+000	2,10003E-001	0,00000E+000	8	...........	-32768,00

	111	3,73333	2,10806E-001	-2,19251E-005	0,00000E+000	2,11003E-001	0,00000E+000	8	...........	-32768,00

	112	3,76667	2,11813E-001	-2,18740E-005	0,00000E+000	2,12003E-001	0,00000E+000	8	...........	-32768,00

	113	3,8	2,12815E-001	-2,18217E-005	0,00000E+000	2,13003E-001	0,00000E+000	8	...........	-32768,00

	114	3,83333	2,13809E-001	-2,17810E-005	0,00000E+000	2,14003E-001	0,00000E+000	8	...........	-32768,00

	115	3,86667	2,14796E-001	-2,17269E-005	0,00000E+000	2,15003E-001	0,00000E+000	8	...........	-32768,00

	116	3,9	2,15798E-001	-2,16758E-005	0,00000E+000	2,16003E-001	0,00000E+000	8	...........	-32768,00

	117	3,93333	2,16808E-001	-2,16404E-005	0,00000E+000	2,17003E-001	0,00000E+000	8	...........	-32768,00

	118	3,96667	2,17806E-001	-2,15798E-005	0,00000E+000	2,18003E-001	0,00000E+000	8	...........	-32768,00

	119	4	2,18824E-001	-2,15288E-005	0,00000E+000	2,19003E-001	0,00000E+000	8	...........	-32768,00

	120	4,03333	2,19828E-001	-2,14875E-005	0,00000E+000	2,20003E-001	0,00000E+000	8	...........	-32768,00

	121	4,06667	2,20813E-001	-2,14458E-005	0,00000E+000	2,21003E-001	0,00000E+000	8	...........	-32768,00

	122	4,1	2,21818E-001	-2,13868E-005	0,00000E+000	2,22003E-001	0,00000E+000	8	...........	-32768,00

	123	4,13333	2,22827E-001	-2,13437E-005	0,00000E+000	2,23004E-001	0,00000E+000	8	...........	-32768,00

	124	4,16667	2,23822E-001	-2,12942E-005	0,00000E+000	2,24004E-001	0,00000E+000	8	...........	-32768,00

	125	4,2	2,24813E-001	-2,12445E-005	0,00000E+000	2,25004E-001	0,00000E+000	8	...........	-32768,00

	126	4,23333	2,25822E-001	-2,11982E-005	0,00000E+000	2,26004E-001	0,00000E+000	8	...........	-32768,00

	127	4,26667	2,26808E-001	-2,11485E-005	0,00000E+000	2,27004E-001	0,00000E+000	8	...........	-32768,00

	128	4,3	2,27824E-001	-2,11046E-005	0,00000E+000	2,28004E-001	0,00000E+000	8	...........	-32768,00

	129	4,33333	2,28810E-001	-2,10541E-005	0,00000E+000	2,29004E-001	0,00000E+000	8	...........	-32768,00

	130	4,36667	2,29803E-001	-2,10003E-005	0,00000E+000	2,30004E-001	0,00000E+000	8	...........	-32768,00

	131	4,4	2,30813E-001	-2,09612E-005	0,00000E+000	2,31004E-001	0,00000E+000	8	...........	-32768,00

	132	4,43333	2,31826E-001	-2,09176E-005	0,00000E+000	2,32004E-001	0,00000E+000	8	...........	-32768,00

	133	4,46667	2,32825E-001	-2,08609E-005	0,00000E+000	2,33004E-001	0,00000E+000	8	...........	-32768,00

	134	4,5	2,33824E-001	-2,08372E-005	0,00000E+000	2,34004E-001	0,00000E+000	8	...........	-32768,00

	135	4,53333	2,34833E-001	-2,07677E-005	0,00000E+000	2,35005E-001	0,00000E+000	8	...........	-32768,00

	136	4,56667	2,35831E-001	-2,07287E-005	0,00000E+000	2,36005E-001	0,00000E+000	8	...........	-32768,00

