	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over	Temp

	#	s	V vs. Ref.	A	V	V	V	#	bits	deg C

	0	0,01	9,97885E-002	-3,75928E-005	0,00000E+000	1,00006E-001	0,00000E+000	8	...........	-32768,00

	1	0,02	1,00780E-001	-3,71105E-005	0,00000E+000	1,00994E-001	0,00000E+000	8	...........	-32768,00

	2	0,03	1,01795E-001	-3,68237E-005	0,00000E+000	1,01994E-001	0,00000E+000	8	...........	-32768,00

	3	0,04	1,02773E-001	-3,65572E-005	0,00000E+000	1,02994E-001	0,00000E+000	8	...........	-32768,00

	4	0,05	1,03785E-001	-3,63866E-005	0,00000E+000	1,03994E-001	0,00000E+000	8	...........	-32768,00

	5	0,06	1,04792E-001	-3,62209E-005	0,00000E+000	1,04994E-001	0,00000E+000	8	...........	-32768,00

	6	0,07	1,05788E-001	-3,60893E-005	0,00000E+000	1,05994E-001	0,00000E+000	8	...........	-32768,00

	7	0,08	1,06797E-001	-3,59314E-005	0,00000E+000	1,06994E-001	0,00000E+000	8	...........	-32768,00

	8	0,09	1,07790E-001	-3,57484E-005	0,00000E+000	1,07994E-001	0,00000E+000	8	...........	-32768,00

	9	0,1	1,08790E-001	-3,56379E-005	0,00000E+000	1,08994E-001	0,00000E+000	8	...........	-32768,00

	10	0,11	1,09785E-001	-3,54670E-005	0,00000E+000	1,09994E-001	0,00000E+000	8	...........	-32768,00

	11	0,12	1,10794E-001	-3,53590E-005	0,00000E+000	1,10995E-001	0,00000E+000	8	...........	-32768,00

	12	0,13	1,11794E-001	-3,52530E-005	0,00000E+000	1,11995E-001	0,00000E+000	8	...........	-32768,00

	13	0,14	1,12796E-001	-3,51463E-005	0,00000E+000	1,12995E-001	0,00000E+000	8	...........	-32768,00

	14	0,15	1,13780E-001	-3,50726E-005	0,00000E+000	1,13995E-001	0,00000E+000	8	...........	-32768,00

	15	0,16	1,14789E-001	-3,49465E-005	0,00000E+000	1,14995E-001	0,00000E+000	8	...........	-32768,00

	16	0,17	1,15807E-001	-3,48598E-005	0,00000E+000	1,15995E-001	0,00000E+000	8	...........	-32768,00

	17	0,18	1,16810E-001	-3,47562E-005	0,00000E+000	1,16995E-001	0,00000E+000	8	...........	-32768,00

	18	0,19	1,17811E-001	-3,46093E-005	0,00000E+000	1,17995E-001	0,00000E+000	8	...........	-32768,00

	19	0,2	1,18789E-001	-3,45550E-005	0,00000E+000	1,18995E-001	0,00000E+000	8	...........	-32768,00

	20	0,21	1,19797E-001	-3,44070E-005	0,00000E+000	1,19995E-001	0,00000E+000	8	...........	-32768,00

	21	0,22	1,20795E-001	-3,43192E-005	0,00000E+000	1,20995E-001	0,00000E+000	8	...........	-32768,00

	22	0,23	1,21799E-001	-3,42352E-005	0,00000E+000	1,21995E-001	0,00000E+000	8	...........	-32768,00

	23	0,24	1,22801E-001	-3,41163E-005	0,00000E+000	1,22996E-001	0,00000E+000	8	...........	-32768,00

	24	0,25	1,23794E-001	-3,40500E-005	0,00000E+000	1,23996E-001	0,00000E+000	8	...........	-32768,00

	25	0,26	1,24808E-001	-3,39322E-005	0,00000E+000	1,24996E-001	0,00000E+000	8	...........	-32768,00

	26	0,27	1,25803E-001	-3,38467E-005	0,00000E+000	1,25996E-001	0,00000E+000	8	...........	-32768,00

	27	0,28	1,26786E-001	-3,37540E-005	0,00000E+000	1,26996E-001	0,00000E+000	8	...........	-32768,00

	28	0,29	1,27794E-001	-3,36425E-005	0,00000E+000	1,27996E-001	0,00000E+000	8	...........	-32768,00

	29	0,3	1,28815E-001	-3,35866E-005	0,00000E+000	1,28996E-001	0,00000E+000	8	...........	-32768,00

	30	0,31	1,29802E-001	-3,34536E-005	0,00000E+000	1,29996E-001	0,00000E+000	8	...........	-32768,00

	31	0,32	1,30810E-001	-3,34210E-005	0,00000E+000	1,30996E-001	0,00000E+000	8	...........	-32768,00

	32	0,33	1,31817E-001	-3,33615E-005	0,00000E+000	1,31996E-001	0,00000E+000	8	...........	-32768,00

	33	0,34	1,32802E-001	-3,32459E-005	0,00000E+000	1,32996E-001	0,00000E+000	8	...........	-32768,00

	34	0,35	1,33806E-001	-3,31706E-005	0,00000E+000	1,33996E-001	0,00000E+000	8	...........	-32768,00

	35	0,36	1,34812E-001	-3,30942E-005	0,00000E+000	1,34997E-001	0,00000E+000	8	...........	-32768,00

	36	0,37	1,35811E-001	-3,30860E-005	0,00000E+000	1,35997E-001	0,00000E+000	8	...........	-32768,00

	37	0,38	1,36794E-001	-3,29913E-005	0,00000E+000	1,36997E-001	0,00000E+000	8	...........	-32768,00

	38	0,39	1,37796E-001	-3,28722E-005	0,00000E+000	1,37997E-001	0,00000E+000	8	...........	-32768,00

	39	0,4	1,38790E-001	-3,28131E-005	0,00000E+000	1,38997E-001	0,00000E+000	8	...........	-32768,00

	40	0,41	1,39789E-001	-3,27076E-005	0,00000E+000	1,39997E-001	0,00000E+000	8	...........	-32768,00

	41	0,42	1,40772E-001	-3,26697E-005	0,00000E+000	1,40997E-001	0,00000E+000	8	...........	-32768,00

	42	0,43	1,41814E-001	-3,26240E-005	0,00000E+000	1,41997E-001	0,00000E+000	8	...........	-32768,00

	43	0,44	1,42818E-001	-3,25136E-005	0,00000E+000	1,42997E-001	0,00000E+000	8	...........	-32768,00

	44	0,45	1,43800E-001	-3,24828E-005	0,00000E+000	1,43997E-001	0,00000E+000	8	...........	-32768,00

	45	0,46	1,44803E-001	-3,23744E-005	0,00000E+000	1,44997E-001	0,00000E+000	8	...........	-32768,00

	46	0,47	1,45791E-001	-3,23497E-005	0,00000E+000	1,45997E-001	0,00000E+000	8	...........	-32768,00

	47	0,48	1,46795E-001	-3,22750E-005	0,00000E+000	1,46997E-001	0,00000E+000	8	...........	-32768,00

	48	0,49	1,47797E-001	-3,21635E-005	0,00000E+000	1,47998E-001	0,00000E+000	8	...........	-32768,00

	49	0,5	1,48799E-001	-3,21422E-005	0,00000E+000	1,48998E-001	0,00000E+000	8	...........	-32768,00

	50	0,51	1,49794E-001	-3,20295E-005	0,00000E+000	1,49998E-001	0,00000E+000	8	...........	-32768,00

	51	0,52	1,50802E-001	-3,20186E-005	0,00000E+000	1,50998E-001	0,00000E+000	8	...........	-32768,00

	52	0,53	1,51801E-001	-3,19573E-005	0,00000E+000	1,51998E-001	0,00000E+000	8	...........	-32768,00

	53	0,54	1,52787E-001	-3,18606E-005	0,00000E+000	1,52998E-001	0,00000E+000	8	...........	-32768,00

	54	0,55	1,53800E-001	-3,18330E-005	0,00000E+000	1,53998E-001	0,00000E+000	8	...........	-32768,00

	55	0,56	1,54805E-001	-3,17536E-005	0,00000E+000	1,54998E-001	0,00000E+000	8	...........	-32768,00

	56	0,57	1,55807E-001	-3,17065E-005	0,00000E+000	1,55998E-001	0,00000E+000	8	...........	-32768,00

	57	0,58	1,56799E-001	-3,16674E-005	0,00000E+000	1,56998E-001	0,00000E+000	8	...........	-32768,00

	58	0,59	1,57788E-001	-3,15687E-005	0,00000E+000	1,57998E-001	0,00000E+000	8	...........	-32768,00

	59	0,6	1,58797E-001	-3,15300E-005	0,00000E+000	1,58998E-001	0,00000E+000	8	...........	-32768,00

	60	0,61	1,59794E-001	-3,14479E-005	0,00000E+000	1,59999E-001	0,00000E+000	8	...........	-32768,00

	61	0,62	1,60796E-001	-3,14271E-005	0,00000E+000	1,60999E-001	0,00000E+000	8	...........	-32768,00

	62	0,63	1,61782E-001	-3,13772E-005	0,00000E+000	1,61999E-001	0,00000E+000	8	...........	-32768,00

	63	0,64	1,62787E-001	-3,12758E-005	0,00000E+000	1,62999E-001	0,00000E+000	8	...........	-32768,00

	64	0,65	1,63794E-001	-3,12566E-005	0,00000E+000	1,63999E-001	0,00000E+000	8	...........	-32768,00

	65	0,66	1,64787E-001	-3,11663E-005	0,00000E+000	1,64999E-001	0,00000E+000	8	...........	-32768,00

	66	0,67	1,65787E-001	-3,11613E-005	0,00000E+000	1,65999E-001	0,00000E+000	8	...........	-32768,00

	67	0,68	1,66790E-001	-3,11074E-005	0,00000E+000	1,66999E-001	0,00000E+000	8	...........	-32768,00

	68	0,69	1,67812E-001	-3,10166E-005	0,00000E+000	1,67999E-001	0,00000E+000	8	...........	-32768,00

	69	0,7	1,68817E-001	-3,10163E-005	0,00000E+000	1,68999E-001	0,00000E+000	8	...........	-32768,00

	70	0,71	1,69793E-001	-3,09072E-005	0,00000E+000	1,69999E-001	0,00000E+000	8	...........	-32768,00

	71	0,72	1,70803E-001	-3,08952E-005	0,00000E+000	1,70999E-001	0,00000E+000	8	...........	-32768,00

	72	0,73	1,71814E-001	-3,08432E-005	0,00000E+000	1,71999E-001	0,00000E+000	8	...........	-32768,00

	73	0,74	1,72798E-001	-3,08019E-005	0,00000E+000	1,73000E-001	0,00000E+000	8	...........	-32768,00

	74	0,75	1,73811E-001	-3,07754E-005	0,00000E+000	1,74000E-001	0,00000E+000	8	...........	-32768,00

	75	0,76	1,74791E-001	-3,06985E-005	0,00000E+000	1,75000E-001	0,00000E+000	8	...........	-32768,00

	76	0,77	1,75792E-001	-3,06703E-005	0,00000E+000	1,76000E-001	0,00000E+000	8	...........	-32768,00

	77	0,78	1,76808E-001	-3,06211E-005	0,00000E+000	1,77000E-001	0,00000E+000	8	...........	-32768,00

	78	0,79	1,77801E-001	-3,05434E-005	0,00000E+000	1,78000E-001	0,00000E+000	8	...........	-32768,00

	79	0,8	1,78793E-001	-3,05418E-005	0,00000E+000	1,79000E-001	0,00000E+000	8	...........	-32768,00

	80	0,81	1,79832E-001	-3,04415E-005	0,00000E+000	1,80000E-001	0,00000E+000	8	...........	-32768,00

	81	0,82	1,80836E-001	-3,04350E-005	0,00000E+000	1,81000E-001	0,00000E+000	8	...........	-32768,00

	82	0,83	1,81837E-001	-3,03878E-005	0,00000E+000	1,82000E-001	0,00000E+000	8	...........	-32768,00

	83	0,84	1,82810E-001	-3,03129E-005	0,00000E+000	1,83000E-001	0,00000E+000	8	...........	-32768,00

	84	0,85	1,83814E-001	-3,02948E-005	0,00000E+000	1,84000E-001	0,00000E+000	8	...........	-32768,00

	85	0,86	1,84808E-001	-3,02077E-005	0,00000E+000	1,85001E-001	0,00000E+000	8	...........	-32768,00

	86	0,87	1,85808E-001	-3,02001E-005	0,00000E+000	1,86001E-001	0,00000E+000	8	...........	-32768,00

	87	0,88	1,86820E-001	-3,01659E-005	0,00000E+000	1,87001E-001	0,00000E+000	8	...........	-32768,00

	88	0,89	1,87793E-001	-3,00915E-005	0,00000E+000	1,88001E-001	0,00000E+000	8	...........	-32768,00

	89	0,9	1,88797E-001	-3,00878E-005	0,00000E+000	1,89001E-001	0,00000E+000	8	...........	-32768,00

	90	0,91	1,89808E-001	-2,99921E-005	0,00000E+000	1,90001E-001	0,00000E+000	8	...........	-32768,00

	91	0,92	1,90805E-001	-2,99819E-005	0,00000E+000	1,91001E-001	0,00000E+000	8	...........	-32768,00

	92	0,93	1,91803E-001	-2,99505E-005	0,00000E+000	1,92001E-001	0,00000E+000	8	...........	-32768,00

	93	0,94	1,92832E-001	-2,98669E-005	0,00000E+000	1,93001E-001	0,00000E+000	8	...........	-32768,00

	94	0,95	1,93824E-001	-2,98536E-005	0,00000E+000	1,94001E-001	0,00000E+000	8	...........	-32768,00

	95	0,96	1,94821E-001	-2,98430E-005	0,00000E+000	1,95001E-001	0,00000E+000	8	...........	-32768,00

	96	0,97	1,95826E-001	-2,97869E-005	0,00000E+000	1,96001E-001	0,00000E+000	8	...........	-32768,00

	97	0,98	1,96816E-001	-2,97392E-005	0,00000E+000	1,97001E-001	0,00000E+000	8	...........	-32768,00

	98	0,99	1,97812E-001	-2,96791E-005	0,00000E+000	1,98002E-001	0,00000E+000	8	...........	-32768,00

	99	1	1,98816E-001	-2,96453E-005	0,00000E+000	1,99002E-001	0,00000E+000	8	...........	-32768,00

	100	1,01	1,99826E-001	-2,95694E-005	0,00000E+000	2,00002E-001	0,00000E+000	8	...........	-32768,00

	101	1,02	2,00815E-001	-2,96129E-005	0,00000E+000	2,01002E-001	0,00000E+000	8	...........	-32768,00

	102	1,03	2,01815E-001	-2,95388E-005	0,00000E+000	2,02002E-001	0,00000E+000	8	...........	-32768,00

	103	1,04	2,02805E-001	-2,94829E-005	0,00000E+000	2,03002E-001	0,00000E+000	8	...........	-32768,00

	104	1,05	2,03801E-001	-2,94681E-005	0,00000E+000	2,04002E-001	0,00000E+000	8	...........	-32768,00

	105	1,06	2,04804E-001	-2,93952E-005	0,00000E+000	2,05002E-001	0,00000E+000	8	...........	-32768,00

	106	1,07	2,05819E-001	-2,93561E-005	0,00000E+000	2,06002E-001	0,00000E+000	8	...........	-32768,00

	107	1,08	2,06813E-001	-2,93316E-005	0,00000E+000	2,07002E-001	0,00000E+000	8	...........	-32768,00

	108	1,09	2,07820E-001	-2,92653E-005	0,00000E+000	2,08002E-001	0,00000E+000	8	...........	-32768,00

	109	1,1	2,08820E-001	-2,92405E-005	0,00000E+000	2,09002E-001	0,00000E+000	8	...........	-32768,00

	110	1,11	2,09811E-001	-2,91837E-005	0,00000E+000	2,10003E-001	0,00000E+000	8	...........	-32768,00

	111	1,12	2,10821E-001	-2,91745E-005	0,00000E+000	2,11003E-001	0,00000E+000	8	...........	-32768,00

	112	1,13	2,11829E-001	-2,91300E-005	0,00000E+000	2,12003E-001	0,00000E+000	8	...........	-32768,00

	113	1,14	2,12823E-001	-2,90648E-005	0,00000E+000	2,13003E-001	0,00000E+000	8	...........	-32768,00

	114	1,15	2,13815E-001	-2,90701E-005	0,00000E+000	2,14003E-001	0,00000E+000	8	...........	-32768,00

	115	1,16	2,14793E-001	-2,89833E-005	0,00000E+000	2,15003E-001	0,00000E+000	8	...........	-32768,00

	116	1,17	2,15796E-001	-2,89896E-005	0,00000E+000	2,16003E-001	0,00000E+000	8	...........	-32768,00

	117	1,18	2,16801E-001	-2,89415E-005	0,00000E+000	2,17003E-001	0,00000E+000	8	...........	-32768,00

	118	1,19	2,17796E-001	-2,88560E-005	0,00000E+000	2,18003E-001	0,00000E+000	8	...........	-32768,00

	119	1,2	2,18821E-001	-2,88694E-005	0,00000E+000	2,19003E-001	0,00000E+000	8	...........	-32768,00

	120	1,21	2,19816E-001	-2,88041E-005	0,00000E+000	2,20003E-001	0,00000E+000	8	...........	-32768,00

	121	1,22	2,20823E-001	-2,87958E-005	0,00000E+000	2,21003E-001	0,00000E+000	8	...........	-32768,00

	122	1,23	2,21832E-001	-2,87635E-005	0,00000E+000	2,22003E-001	0,00000E+000	8	...........	-32768,00

	123	1,24	2,22826E-001	-2,86774E-005	0,00000E+000	2,23004E-001	0,00000E+000	8	...........	-32768,00

	124	1,25	2,23828E-001	-2,86616E-005	0,00000E+000	2,24004E-001	0,00000E+000	8	...........	-32768,00

	125	1,26	2,24820E-001	-2,85844E-005	0,00000E+000	2,25004E-001	0,00000E+000	8	...........	-32768,00

	126	1,27	2,25814E-001	-2,85784E-005	0,00000E+000	2,26004E-001	0,00000E+000	8	...........	-32768,00

	127	1,28	2,26820E-001	-2,85828E-005	0,00000E+000	2,27004E-001	0,00000E+000	8	...........	-32768,00

	128	1,29	2,27816E-001	-2,84969E-005	0,00000E+000	2,28004E-001	0,00000E+000	8	...........	-32768,00

	129	1,3	2,28817E-001	-2,84734E-005	0,00000E+000	2,29004E-001	0,00000E+000	8	...........	-32768,00

	130	1,31	2,29803E-001	-2,84110E-005	0,00000E+000	2,30004E-001	0,00000E+000	8	...........	-32768,00

	131	1,32	2,30824E-001	-2,83951E-005	0,00000E+000	2,31004E-001	0,00000E+000	8	...........	-32768,00

	132	1,33	2,31830E-001	-2,83853E-005	0,00000E+000	2,32004E-001	0,00000E+000	8	...........	-32768,00

	133	1,34	2,32830E-001	-2,83227E-005	0,00000E+000	2,33004E-001	0,00000E+000	8	...........	-32768,00

	134	1,35	2,33819E-001	-2,83014E-005	0,00000E+000	2,34004E-001	0,00000E+000	8	...........	-32768,00

	135	1,36	2,34828E-001	-2,82147E-005	0,00000E+000	2,35005E-001	0,00000E+000	8	...........	-32768,00

	136	1,37	2,35833E-001	-2,82173E-005	0,00000E+000	2,36005E-001	0,00000E+000	8	...........	-32768,00

	137	1,38	2,36817E-001	-2,81910E-005	0,00000E+000	2,37005E-001	0,00000E+000	8	...........	-32768,00

	138	1,39	2,37822E-001	-2,81308E-005	0,00000E+000	2,38005E-001	0,00000E+000	8	...........	-32768,00

